jobTitleCanonical,totalAffected,facilityCount
Quality Assurance Engineer II,37,8
Quality Assurance Engineer III,5,5
Quality Assurance Tech I,1,1
Recruiting BP I,7,1
Recruiting BP II,8,3
Recruiting BP III,11,4
Recruiting Coord I,1,1
Research Scientist II,4,2
Research Scientist III,5,4
Retail Rotation Program - MBA,1,1
Retail Vendor Manager II,3,2
Retail Vendor Manager III,6,4
Risk Manager II,8,3
Risk Manager III,8,4
Risk Specialist I,10,4
Sales Account Manager II,2,1
"Sales Mgr III 50, Ad Growth",1,1
Sales Operations III,4,3
Security Engineer III,1,1
Security Industry Spclst II,3,2
Security Industry Spclst III,2,2
Software Dev Engineer I,211,24
Software Dev Engineer II,344,26
Software Dev Engineer II-TEST,7,5
Software Dev Engineer III,107,22
Software Dev Engineer III-TEST,3,2
Solutions Architect I,1,1
Solutions Architect II,2,2
Solutions Architect III,1,1
Sourcing Recruiter I,12,3
Sourcing Recruiter II,16,4
Sourcing Recruiter III,11,5
"Specialist III, Learning & Dev",1,1
"Sr Manager, Applied Science",5,4
"Sr Manager, Business Intel",1,1
"Sr Manager, Corp Strat Procur",1,1
"Sr Manager, Data Engineering",1,1
"Sr Manager, Data Science",1,1
"Sr Manager, Finance",12,9
"Sr Manager, Instock Mgmt",1,1
"Sr Manager, Plan/Dev",1,1
"Sr Manager, Prod Mgmt - Tech",10,7
"Sr Manager, Product Mgmt",12,10
"Sr Manager, Program Management",7,4
"Sr Manager, Quality",3,2
"Sr Manager, Research Science",1,1
"Sr Manager, Software Dev",40,17
"Sr Manager, Tech Business Dev",3,2
"Sr Manager, Tech Program Mgmt",4,3
"Sr Manager, UX/Design",9,9
"Sr Mgr, Benefits Specialist",1,1
"Sr Mgr, Creative Dev",1,1
"Sr Mgr, Documentation-Tech",1,1
"Sr Mgr, General Mktg",1,1
"Sr Mgr, HR Specialist",3,2
"Sr Mgr, HRP (Corp)",1,1
"Sr Mgr, Recruiting",6,4
"Sr Mgr, Retail Store",1,1
"Sr Mgr, Retail Vendor Mgmt",1,1
"Sr Mgr, Supply Chain MGMT",2,2
"Sr. Manager, Account Rep",3,3
"Sr. Manager, Ad Sales",1,1
"Sr. Manager, Ads Acct Mgmt",1,1
"Sr. Manager, Game Production",1,1
"Sr. Manager, Public Policy",1,1
"Sr. Manager, Risk",3,2
"Sr. Manager, Sales",1,1
"Sr. Mgr, Creative MKTG",1,1
"Sr. Mgr, Sales Operations",1,1
"Sr. Mgr, Secrty Indust Spclst",3,2
"Sr. Mgr, Studio Ops and Strate",1,1
"Sr. Mgr, System Development",1,1
Sr. Principal Technologist,3,3
"Sr. Sales Manager, Ad Growth",2,1
"Sr. Sales Manager, AdLrgSales",3,1
"Sr.Mgr, General MKTG",4,2
"Sr.Mgr, Product MKTG",3,2
Studio Ops and Strategy Sp II,1,1
Supply Chain Mgr II,2,2
Supply Chain Mgr III,2,2
Support Engineer II,2,1
Support Engineer III,9,4
Support Engineer IV,3,2
Support Engineer V,1,1
Sustainability Specialist III,1,1
System Admin/Engr II,2,1
System Dev Engineer III,7,6
System Development Engineer I,5,3
System Development Engineer II,7,5
Tax Analyst I,2,1
Tax Analyst II,1,1
Tax Analyst III,12,1
Tech Business Developer II,1,1
Tech Business Developer III,8,2
Tech Game Artist I,2,1
Tech Game Artist II,3,1
Tech Game Artist III,1,1
Tech Infra Program Manager II,1,1
Tech Writer-Tech I,3,3
Tech Writer-Tech II,18,3
Tech Writer-Tech III,31,3
Technical Account Manager I,1,1
Technical Program Manager II,18,13
Technical Program Manager III,41,19
Technical Writer II,1,1
UX Designer I,3,3
UX Designer II,10,6
UX Designer III,12,8
UX Researcher I,2,2
UX Researcher II,5,3
UX Researcher III,4,3
"VP, Sales/Account Management",1,1
